OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Deployment Time,Unit Time Set,Unit ID,SD Card Number,Site Name,Collection Time,Deployment Orientation,Deployment Height,Notes,Plant Phenology,Creek Pools,Creek Flow,x,y
2,a00fce44-6754-431d-aa38-1188238f44fb,4/15/2025 9:35:18 PM,ccber_user,4/15/2025 9:35:18 PM,ccber_user,4/15/2025 9:33:49 PM,Time set,AM_08,15,AC_10,,90,1,,,Yes,Yes,-119.80742528249,34.4248093275246
3,d5193b3c-55ce-4419-8f51-98f491c6d184,4/15/2025 9:50:52 PM,ccber_user,4/15/2025 9:50:52 PM,ccber_user,4/15/2025 9:49:06 PM,Time set,AM_04,31,AC_05,,175,1.5,,,Yes,Yes,-119.812608490713,34.4243428693856
4,42b18a9e-ee36-4d58-9e60-ba301f087976,4/15/2025 10:07:34 PM,ccber_user,4/15/2025 10:07:34 PM,ccber_user,4/15/2025 10:05:06 PM,Time set,AM_10,23,AC_02,,135,1.5,,,Yes,Yes,-119.818340751932,34.4234636947953
5,976fa382-c66d-4651-9cb3-95030e8fcfac,4/15/2025 10:46:39 PM,ccber_user,4/15/2025 10:46:39 PM,ccber_user,4/15/2025 10:43:27 PM,Time set,AM_25,36,AC_12,,270,1,,,Yes,Yes,-119.804297991865,34.4252394235077
6,483e4c8b-838f-48c5-9550-c89761a1cf86,4/21/2025 6:26:26 PM,ccber_user,4/21/2025 6:27:56 PM,ccber_user,4/21/2025 6:25:45 PM,Time set,23,29,EW_03,,270,1.5,,,Yes,Yes,-119.886674813162,34.4231270551838
7,d479c002-d225-4b2a-a8f5-bcb2649dd843,4/21/2025 8:57:12 PM,ccber_user,4/21/2025 8:57:12 PM,ccber_user,4/21/2025 8:56:23 PM,Time set,22,81,EW_01,,0,2,,,Yes,Yes,-119.889752574276,34.4234029880069
8,e2d0311b-4c13-40ff-9ccb-dfb53129199e,4/21/2025 9:15:10 PM,ccber_user,4/21/2025 9:17:25 PM,ccber_user,4/21/2025 9:13:18 PM,Time set,6,13,EW_08,,60,1.5,,,No,Yes,-119.893624264642,34.4232293637554
9,68febdd2-49cf-44da-9769-fb539eb482fc,4/22/2025 5:25:07 PM,ccber_user,4/22/2025 5:25:07 PM,ccber_user,4/22/2025 5:24:25 PM,Time not set,17,34,EW_09,,300,1,,,No,Yes,-119.895353030185,34.4235681489003
10,177d6201-c0b1-4d21-aa3d-69c55a2e67f9,4/22/2025 7:03:26 PM,ccber_user,4/22/2025 7:03:26 PM,ccber_user,4/22/2025 7:01:40 PM,Time set,18,38,PC_01,,50,1,,,Yes,Yes,-119.87908078094,34.4218408673246
11,8ac85478-6cd8-4384-a9f5-24f51999eaac,4/22/2025 7:12:07 PM,ccber_user,4/22/2025 7:12:07 PM,ccber_user,4/22/2025 7:11:32 PM,Time set,19,18,PC_02,,120,1.5,,,Yes,Yes,-119.880208921207,34.4231761995046
12,163de307-6c4f-4a80-9a29-d4cdbfce40a9,4/22/2025 7:26:27 PM,ccber_user,4/22/2025 7:26:27 PM,ccber_user,4/22/2025 7:25:53 PM,Time set,16,84,WC_01,,30,1,,,Yes,Yes,-119.873541586541,34.4216395686524
13,8cede25b-528e-466d-ac8a-a8b944c82364,4/22/2025 7:35:17 PM,ccber_user,4/22/2025 7:35:17 PM,ccber_user,4/22/2025 7:34:39 PM,Time set,11,16,WC_02,,308,2,,,Yes,Yes,-119.872265738089,34.4224084693043
